"Timestamp (UTC+0)","RH","Temp","WD","WS"
"2024-09-27 10:00","85.3","29.72","256.8","0.38"
"2024-09-27 09:00","93.7","28.2","269","0.401"
"2024-09-27 08:00","100.1","26.86","278.4","0.455"
"2024-09-27 07:00","100.6","25.33","286.9","0.539"
"2024-09-27 06:00","100.6","25.17","285.5","0.511"
"2024-09-27 05:00","100.6","25.55","269.2","0.509"
"2024-09-27 04:00","100.6","25.66","281.4","0.511"
"2024-09-27 03:00","100.6","25.78","264.1","0.503"
"2024-09-27 02:00","100.6","25.68","243","0.493"
"2024-09-27 01:00","100.6","25.63","222.4","0.398"
"2024-09-27 00:00","100.6","25.85","219.4","0.375"
"2024-09-26 23:00","100.6","25.88","222.9","0.369"
"2024-09-26 22:00","100.6","26.02","222.1","0.369"
"2024-09-26 21:00","100.6","26","229","0.362"
"2024-09-26 20:00","100.6","26.01","227","0.365"
"2024-09-26 19:00","100.6","26.08","210.5","0.378"
"2024-09-26 18:00","100.7","26.78","212","0.476"
"2024-09-26 17:00","96.9","27.85","204.3","0.459"
"2024-09-26 16:00","90.8","28.91","198.7","0.41"
"2024-09-26 15:00","85.9","30.01","198.2","0.331"
"2024-09-26 14:00","84.7","29.86","199.5","0.329"
"2024-09-26 13:00","85.7","29.83","201.9","0.325"
"2024-09-26 12:00","83.1","30.19","248.8","0.32"
"2024-09-26 11:00","91.5","28.75","274","0.358"
"2024-09-26 10:00","99.5","27.56","273.1","0.403"
"2024-09-26 09:00","100.7","26.44","274.7","0.489"
"2024-09-26 08:00","100.6","25.72","279.7","0.519"
"2024-09-26 07:00","100.6","25.06","283.8","0.533"
"2024-09-26 06:00","100.6","24.89","275.8","0.543"
"2024-09-26 05:00","100.6","24.96","266.6","0.549"
"2024-09-26 04:00","100.6","25.03","281.9","0.556"
"2024-09-26 03:00","100.6","25.12","268.6","0.56"
"2024-09-26 02:00","100.6","25.19","274.7","0.565"
"2024-09-26 01:00","100.6","25.33","280.2","0.569"
"2024-09-26 00:00","100.6","25.55","279.3","0.571"
"2024-09-25 23:00","100.6","25.66","265.3","0.57"
"2024-09-25 22:00","100.6","25.74","272.6","0.573"
"2024-09-25 21:00","100.6","25.91","237.7","0.57"
"2024-09-25 20:00","100.6","26.08","229.9","0.57"
"2024-09-25 19:00","100.6","25.95","224.5","0.57"
"2024-09-25 18:00","100.7","26.31","216.5","0.567"
"2024-09-25 17:00","100.7","26.38","212.7","0.565"
"2024-09-25 16:00","100.7","26.36","212.5","0.561"
"2024-09-25 15:00","100.7","26.59","209.1","0.554"
"2024-09-25 14:00","100.7","27.09","201.7","0.511"
"2024-09-25 13:00","100.7","27.86","200.3","0.402"
"2024-09-25 12:00","100.6","26.89","204.4","0.731"
"2024-09-25 11:00","100.5","25.57","217.8","0.425"
"2024-09-25 10:00","100.5","25.44","226.4","0.414"
"2024-09-25 09:00","100.5","25.26","223.8","0.377"
"2024-09-25 08:00","100.6","25.54","185.8","0.337"
"2024-09-25 07:00","100.6","25.52","205.2","0.272"
"2024-09-25 06:00","100.6","25.37","217.7","0.229"
"2024-09-25 05:00","100.6","25.59","216.2","0.229"
"2024-09-25 04:00","100.7","26.06","219.5","0.229"
"2024-09-25 03:00","100.7","26.08","202.7","0.228"
"2024-09-25 02:00","100.7","26.22","207.3","0.225"
"2024-09-25 01:00","100.7","26.33","222.7","0.217"
"2024-09-25 00:00","100.7","26.42","206.7","0.216"
"2024-09-24 23:00","100.7","26.56","206.1","0.217"
"2024-09-24 22:00","100.7","26.62","199.6","0.217"
"2024-09-24 21:00","100.7","26.57","203.8","0.218"
"2024-09-24 20:00","100.7","26.65","203.9","0.218"
"2024-09-24 19:00","100.5","26.87","200.1","0.221"
"2024-09-24 18:00","96.2","27.63","201.6","0.219"
"2024-09-24 17:00","85","29.24","195.6","0.213"
"2024-09-24 16:00","77.75","30.71","192.1","0.221"
"2024-09-24 15:00","78.52","31.13","200","0.226"
"2024-09-24 14:00","76.35","31.44","197.7","0.234"
"2024-09-24 13:00","76.56","31.48","193.6","0.248"
"2024-09-24 12:00","76.03","31.72","198.1","0.291"
"2024-09-24 11:00","77.35","31.42","202.6","0.373"
"2024-09-24 10:00","85.4","29.65","222.5","0.373"
"2024-09-24 09:00","92.9","28.37","243.8","0.373"
"2024-09-24 08:00","100.7","26.53","248.9","0.283"
"2024-09-24 07:00","100.6","25.39","267.1","0.252"
"2024-09-24 06:00","100.6","25.26","271.9","0.232"
"2024-09-24 05:00","100.6","25.44","243.5","0.228"
"2024-09-24 04:00","100.7","25.6","245.2","0.219"
"2024-09-24 03:00","100.7","25.87","232.9","0.218"
"2024-09-24 02:00","100.7","26.03","203","0.217"
"2024-09-24 01:00","100.7","25.92","205.6","0.215"
"2024-09-24 00:00","100.7","25.85","214.2","0.211"
